title;context;duration
Монтаж манифолда;Зафиксировать основание в кондукторе ЭНСТ.941619.002.К1. Смонтировать пневматический блок согласно требовниям сборочного чертежа. Перед монтажем пневмоблока контролировать нанесение серийного номера пневмоплиты на ее верхней грани.;30
Монтаж блока питания;Смонтировать блок питания согласно требовниям сборочного чертежа.;30
Монтаж нагревателя;Смонтировать негреватель согласно требовниям сборочного чертежа. При монтаже нагревателя смотреть контрольную маркировку.;30
Монтаж кронштейнов  задней панелей;Смонтировать кронштейны согласно требовниям сборочного чертежа.;30
Монтаж лицевой панели;Установить сборку лицевой панели согласно требовниям сборочного чертежа.;30
Расключение пневматических соединений;Расключить пневматические соединения согласно пневматической схеме.;30
Расключение электрических соединений;Расключить электические соединения согласно пневматической схеме.;60
Настройка пневмоблока;Настройку пневмоблока вести согласно инструкции по настройке. Настройку скоростей потока газа вести на СО2.;300
Прогон пневмоблока;Прогон пневмоблока осуществлять на осушенном воздухе или углекислом газе в течение 4-х часов со включенным нагревателем и режиме 2 скорости потока газа. По результатам прогона проконтролировать параметры изделия, индикацию, звуковые сигналы.;14400
Защита кожуха бронепленкой;Отмерить 440мм пленки, отрезать под углом 90о. Наклеить на кожух равномерно. Для чего располгать кожух на расстоянии 120мм от бокового края отреза. Передние кромки кожуха и пленки совместить. Наклеить пленку, излишки воздуха удалить из-под пленки при помощи резинового шпателя. Отрезать излишки пленки по задней кромке кожуха.;420
Финальная сборка аппарата в корпусе;Установить кожух на сборку аппарата согласно требования сборочного чертежа.;300
Установка шильдов, оформление документов;Обезжирить поверхности перед наклеванием при помощи изопропилового спирта. Наклеить шильды согласно требованиям сборочного чертежа. Серийный номер и дату производства наносить согласно маршрутной карте на изделие и паспорту.;300
Упаковка;Разместить аппарат и комплектацию в упаковке согласно упаковочному чертежу. При упаковке тщательно контролировать комплектацию.;60