header;context;idealDuration
Наклеивание лицевой декоративной панели;Лицевую панель обезжирить при помощи изопропилового спирта. Наклеить декоративную лицевую панель. При наклеивании следить за совпадением отверстий панелей.;30
Установка блока управления;Смонтировать блок управления и индикации согласно требования сборочного чертежа. Ограничивать усилие при затягивнии гаек.;180
Монтаж переключателя;Смонтировать переключатель согласно требования сборочного чертежа. После монтажа сборку защитить с лицевой стороны бронепленкой. Бронепленку заготавливать по трафарету. Отверстия для элементов лицевой изготовить пробойником, согласно требованиям чртежа.;30
Монтаж проводов;Смонтировать провода и разъемы переключателей согласно требований монтажной схемы.;60
Тестирование лицевой панели;Подключить сборку к контролному устройству, протестировать работу индикаторов, переключателей, наличие звуковых сигналов.;120
Сборка педали шаг 1;Расположить основание педали на столе лицевой стороной вниз. При помощи отвертки устаровить ножки согласно требованиям сборочного чертежа.;45
Сборка педали шаг 2;Расположить осование педали лицевой стороной вверх. Установить гермоввод. Продеть кабель через гермоввод. Смонтировать кабель на плату с микропереключателем. Оголенные токоведущие части на плате загерметизировать. Закрепить плату в основании согласно требованиям сборочного чертежа.;300
Сборка педали шаг 3;Установть в основание пластиковые ограничительные винты, пружину. Установаить клавишу педали на основние, закрепить согласно требованиям сборочнго чертежа.;180
Сборка блока двигателя;Установить двигатель на держатель, смонтировать лицевую панель, роликовый механизм.;180
Монтаж блока двигателя;Установить блок управления двигателя на основание согласно требованиям сборочного чертежа;30
Монтаж Блока управления двигателя;Смонтировать блок управления согласно требовниям сборочного чертежа.;30
Монтаж блока питания;Смонтировать блок питания согласно требовниям сборочного чертежа.;30
Расключение электрических соединений;Расключить электические соединения согласно монтажной схеме. Подать питания, проконтролировать вращение роликового механизма.;60
Финальная сборка аппарата в корпусе;Установить кожух на сборку аппарата согласно требования сборочного чертежа, смонтировать рукоятку энкодера на лицевой панели. Контролировать нажатие кнопки энкодера.;300
Установка шильдов; оформление документов,Обезжирить поверхности перед наклеванием при помощи изопропилового спирта. Наклеить шильды согласно требованиям сборочного чертежа. Серийный номер и дату производства наносить согласно маршрутной карте на изделие и паспорту.;300